/var/spool/slurmd/job1006452/slurm_script: line 8: conda: command not found
/scrtp/avon/eb/software/SciPy-bundle/2022.05-foss-2022a/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Epoch 500, normalising constant 0.9966629147529602 0.012872040271759033
run 2 cop_u 0 DONE 2244.5771
Epoch 100, normalising constant 1.0024213790893555 0.0011261701583862305
Epoch 200, normalising constant 0.9996142387390137 0.01799952983856201
Epoch 300, normalising constant 0.9962942600250244 0.040892839431762695
Epoch 400, normalising constant 0.9930824041366577 -0.03458380699157715
Epoch 500, normalising constant 0.9900877475738525 0.05244433879852295
run 2 cop_u 1 DONE 1637.6865
Epoch 100, normalising constant 1.0040078163146973 -5.745887756347656e-05
Epoch 200, normalising constant 1.0028791427612305 -0.0002014636993408203
Epoch 300, normalising constant 1.0022515058517456 -0.0017757415771484375
Epoch 400, normalising constant 1.001714825630188 -0.029618561267852783
Epoch 500, normalising constant 1.0010840892791748 -0.012496411800384521
run 2 cop_u 2 DONE 1849.0061
Epoch 100, normalising constant 1.0048325061798096 -0.0006020069122314453
Epoch 200, normalising constant 1.0022871494293213 -0.0020807981491088867
Epoch 300, normalising constant 1.0007649660110474 0.034016549587249756
Epoch 400, normalising constant 0.9996212720870972 -0.0412026047706604
Epoch 500, normalising constant 0.9986225366592407 0.003250718116760254
run 2 cop_u 3 DONE 1983.0743
Epoch 100, normalising constant 1.0126643180847168 0.0005066394805908203
Epoch 200, normalising constant 1.0082817077636719 0.017253398895263672
Epoch 300, normalising constant 1.0024844408035278 -0.003339529037475586
Epoch 400, normalising constant 0.9991773962974548 0.0014682412147521973
Epoch 500, normalising constant 0.99742192029953 0.03249359130859375
run 3 cop_u 0 DONE 792.3651
Epoch 100, normalising constant 1.0011019706726074 0.0004401206970214844
Epoch 200, normalising constant 0.9977472424507141 -0.005928695201873779
Epoch 300, normalising constant 0.996950089931488 -0.023373186588287354
Epoch 400, normalising constant 0.996651291847229 0.038469791412353516
Epoch 500, normalising constant 0.9966609477996826 -0.041220128536224365
run 3 cop_u 1 DONE 2218.7502
Epoch 100, normalising constant 1.0009804964065552 -4.8279762268066406e-05
Epoch 200, normalising constant 1.0012731552124023 0.000614464282989502
Epoch 300, normalising constant 0.9997788071632385 -0.01651930809020996
Epoch 400, normalising constant 0.9972826242446899 0.03699702024459839
